Year,SSP3-7.0 Total (W/m²),SSP3-7.0 CO2 (W/m²),SSP3-7.0 CH4 (W/m²),SSP3-7.0 N2O (W/m²),SSP3-7.0 Minor GHG (W/m²),SSP3-7.0 O3 (W/m²),SSP3-7.0 Stratospheric H2O (W/m²),SSP3-7.0 Contrails (W/m²),SSP3-7.0 Aerosol Radiation (W/m²),SSP3-7.0 Aerosol Cloud (W/m²),SSP3-7.0 Snow (W/m²),SSP3-7.0 Land Use (W/m²),SSP3-7.0 Volcanic (W/m²),SSP3-7.0 Solar (W/m²),SSP3-7.0 Total Antropgenic (W/m²),SSP3-7.0 Total Natural (W/m²)
1930,0.477797214346462,0.5407260807935735,0.1983353383379042,0.0556990552269634,0.0008008207567754,0.1167766666666666,0.0182299210251607,0.0004486089535842,-0.1132010064348987,-0.4572880734988301,0.0299627316408534,-0.1252701759196455,0.1896045873445277,0.0229726594538271,0.2652199675481072,0.2125772467983548
1931,0.534851090487314,0.5441914042563286,0.2008554896542221,0.056374648257944,0.0009244360381831,0.1187411666666666,0.0184615598236367,0.000514051438091,-0.0974721846406673,-0.3976854519687441,0.02646795029023,-0.1265371574319251,0.1892733536104584,0.0007418244928896,0.3448359123839659,0.190015178103348
1932,0.3794375422304401,0.5488940053860475,0.2031738240986964,0.0567378872584322,0.0010482949682671,0.1207056666666666,0.0186746486971922,0.0005564859780492,-0.084540164472928,-0.3719957467887536,0.0260862951314593,-0.1278041389442048,0.0037108814383134,-0.0158103971867978,0.3915370579789244,-0.0120995157484843
1933,0.5107279185989488,0.5542740459108394,0.2055425319279043,0.0572814432935723,0.0011770285558533,0.1226701666666666,0.018892367622221,0.0006893232177594,-0.0914198829765879,-0.3830237856170009,0.025945241847266,-0.1290711204564844,0.1505076159499875,-0.0227370573430478,0.3829573599920091,0.1277705586069397
1934,0.5179984730897302,0.5609755592460626,0.2082413291598845,0.0576352369535513,0.0013228599883789,0.1246346666666666,0.0191404265955447,0.0008094336800757,-0.1024449314353637,-0.4234785262726516,0.0282759569343588,-0.1303381019687641,0.1882549314319092,-0.0150303678899228,0.3447739095477439,0.1732245635419863
1935,0.5280049362384527,0.5687255661017379,0.2109731925269416,0.0580734112226591,0.0015025881736903,0.1265991666666666,0.0193915248307374,0.0009729248307246,-0.1119945916459208,-0.4427652885852207,0.0286400485067992,-0.1316050834810437,0.1879072453712289,0.0115842317194521,0.3285134591477716,0.199491477090681
1936,0.5618848026355807,0.582591019943175,0.213409873666377,0.0586523911241312,0.0017365527383,0.1285636666666666,0.0196154914980376,0.001172341742462,-0.1209581150175266,-0.477825723957706,0.0309999420404379,-0.1328720649933233,0.1875554298400972,0.0692439973444521,0.3050853754510313,0.2567994271845494
1937,0.554261753182864,0.5958364164261459,0.2157063198166393,0.0593874569572448,0.0019904051550392,0.1305281666666666,0.0198265685169322,0.0014342604691901,-0.1318065308931465,-0.4953140796401717,0.0310765902673317,-0.134139046505603,0.1871995049693305,0.0725357209772646,0.2945265272362687,0.2597352259465951
1938,0.6017302073003102,0.6051060602917695,0.2179053643935976,0.060250800557848,0.0022443491820784,0.1324926666666666,0.0200286929053781,0.0015091459241294,-0.1212184679908062,-0.4591378634425919,0.0290171019585913,-0.1354060280178827,0.1868394558864548,0.0620989289850771,0.3527918224287782,0.248938384871532
1939,0.5703214139145101,0.6148414410852404,0.2211014812712997,0.0609539177362513,0.0025121790402072,0.1344571666666666,0.0203224628344082,0.0017143275284358,-0.1315111616013127,-0.494106362300803,0.0310364519925393,-0.1366730095301623,0.1864752991910371,0.0591972200007021,0.3246488947227708,0.2456725191917392
1940,0.5208411383377717,0.6236563165449681,0.2227301235955588,0.0617900760552861,0.0028208582052545,0.1364216666666666,0.0204721589057099,0.0019487143093538,-0.147204826639103,-0.5213605085369845,0.0313914869008979,-0.1377064417438898,0.1861070235655381,0.0397744905085146,0.2949596242637189,0.2258815140740527
1941,0.501564329360191,0.6315380841823073,0.2243099525516996,0.0626720632933559,0.0031859491468851,0.1395045,0.0206173683139024,0.0021479780411109,-0.1515597213495526,-0.5346196901700302,0.0323385897334268,-0.1383700925959986,0.1857346477436322,0.0240647004694521,0.2917649811471067,0.2097993482130843
1942,0.475286256026022,0.6377642054343154,0.2268117516166269,0.0636526513526331,0.0036449442631442,0.1425873333333333,0.020847320271817,0.0021749803746356,-0.155259310927038,-0.5525535105238292,0.0336979041313752,-0.1390337434481074,0.1853581234276634,0.0055936067194521,0.2843345258789064,0.1909517301471155
1943,0.4648727124668126,0.6414540265637992,0.2290574369867803,0.0659355923813527,0.0041962422028259,0.1456701666666666,0.0210537316319323,0.0024382958602131,-0.1560956027218488,-0.5550737611526608,0.0340211683366371,-0.1396973943002162,0.184977504073129,-0.0130646940617978,0.2929599024554815,0.1719128100113311
1944,0.4875955603027613,0.6416980473794832,0.230873853843764,0.0667248160576156,0.0048509829314516,0.148753,0.0212206869316236,0.002966865166745,-0.1518591250109305,-0.5480416359015794,0.0340460482494839,-0.140361045152325,0.1845927647520393,-0.0078696989446103,0.3108724944953323,0.176723065807429
1945,0.6041813814865127,0.6410410450363411,0.2324055076550178,0.0675431522737111,0.0054637732571887,0.1518358333333333,0.0213614683387648,0.0030065774644435,-0.1313943123020011,-0.4886089618555674,0.0308356222411699,-0.1410246960044337,0.1842039420869045,0.0275124299616396,0.3924650094379684,0.2117163720485441
1946,0.6408870583221449,0.6409674521400469,0.234582344554695,0.0682629000510055,0.0062980476396872,0.1549186666666666,0.0215615515165703,0.0031787176872165,-0.12873865173012,-0.4770240464117199,0.0301936001032605,-0.1416883468565425,0.1838109525700516,0.0445638703913271,0.4125122353607661,0.2283748229613787
1947,0.6405818864399044,0.6425029189032891,0.2375768405268081,0.0685698942146026,0.0071728669526035,0.1580015,0.0218367895328475,0.0035068012101457,-0.1496642686700574,-0.5101083718038384,0.0300698547875477,-0.1423519977086513,0.1834138795095298,0.0900551789850771,0.3671128279452975,0.2734690584946069
1948,0.6300547119597464,0.6429607542068914,0.2405682056148392,0.0687398521240282,0.0081206564053798,0.1610843333333333,0.0221117397750445,0.0039071383291783,-0.1592307996453654,-0.5350162527030458,0.0311874714293304,-0.1430156485607601,0.18301269790019,0.1056245637507021,0.3414174503088542,0.2886372616508921
1949,0.6654805983791331,0.6447613317600908,0.2429193225317319,0.0689014762915406,0.0091027562785258,0.1641671666666666,0.022327841837718,0.0038323370809497,-0.1404518084576724,-0.5118593299230694,0.0322502234614232,-0.1436792994128688,0.1826073807712071,0.0906011994928896,0.3922720181150363,0.2732085802640968
1950,0.5878483105297357,0.6479387693820088,0.2446427262055202,0.0694135273139391,0.0101047227572132,0.16725,0.0224862478642532,0.0045960290479811,-0.1535692549339891,-0.554649866298993,0.0348296513724692,-0.1443429502649776,0.1821979724586079,0.0569507356257021,0.3486996024454256,0.23914870808431
1951,0.5520246156298035,0.6511847172557995,0.2471159605427325,0.0698516538867819,0.0111650947652872,0.172705,0.0227135743055316,0.0050383908517084,-0.1630953830953387,-0.5444080553946656,0.0323732795037546,-0.1468619082812454,0.1817844267575054,0.0124578645319521,0.3577823243403459,0.1942422912894576
1952,0.5383554369230278,0.6568097335965328,0.2498345709474073,0.0704422232884021,0.0122166735091355,0.1781599999999999,0.0229634543994711,0.0053258744143525,-0.1708912096279033,-0.5617937209457521,0.0329846717916988,-0.1495089963411357,0.1813667729448038,0.0104453889460146,0.3465432750322092,0.1918121618908185
1953,0.5202611741321225,0.663485281659083,0.2542885674881887,0.0715296022982154,0.0134020446267726,0.183615,0.0233728418836443,0.0056269463591463,-0.1765239439633939,-0.578696197119357,0.0339843963021559,-0.152156084401026,0.1809450204823658,-0.0026123014836728,0.3419284551334295,0.1783327189986929
1954,0.525887364453035,0.6697493640826936,0.2597132254367991,0.0722780369262612,0.0147592223168593,0.18907,0.0238714473607136,0.0059092964247744,-0.1797693928598848,-0.5877071348660209,0.034753644010369,-0.1548031724609163,0.1805191237056845,-0.0024562956242978,0.3478245363716483,0.1780628280813866
1955,0.5208444445150064,0.6752155604512464,0.2656658157064472,0.0733109233685063,0.0163029619511337,0.194525,0.0244185775464899,0.0065337763960256,-0.1969511100271657,-0.6215218343266592,0.0358611823779279,-0.1574502605208067,0.1800891218255335,0.0248447297663271,0.3159105929231457,0.2049338515918607
1956,0.5410698731745158,0.6800262076161371,0.2726589217513125,0.074502086161844,0.0180704015389714,0.19998,0.0250613463641238,0.0070665746617668,-0.2117964968535243,-0.6677984913801954,0.0387566569996121,-0.160097348580697,0.1796550263397751,0.0849849885553896,0.276429858279351,0.2646400148951648
1957,0.5745874913927137,0.685026535015809,0.2797236931777048,0.0756280704447398,0.0200771461098282,0.2054349999999999,0.0257107022794298,0.0073280857267746,-0.2218617587021051,-0.7008587145638476,0.0409776953649499,-0.1627444366405873,0.1792167834527529,0.1409286897272646,0.2544420182126961,0.3201454731800176
