Year,Earth CO2 (tot) (Gg/yr),Earth CO2 (fuel) (Gg/yr),Earth CH4 (tot) (Gg/yr),Earth CH4 (fuel) (Gg/yr),Asia Pacific CO2 (tot) (Gg/yr),Asia Pacific CO2 (fuel) (Gg/yr),Asia Pacific CH4 (tot) (Gg/yr),Asia Pacific CH4 (fuel) (Gg/yr),North America CO2 (tot) (Gg/yr),North America CO2 (fuel) (Gg/yr),North America CH4 (tot) (Gg/yr),North America CH4 (fuel) (Gg/yr),Europe CO2 (tot) (Gg/yr),Europe CO2 (fuel) (Gg/yr),Europe CH4 (tot) (Gg/yr),Europe CH4 (fuel) (Gg/yr),Eurasia CO2 (tot) (Gg/yr),Eurasia CO2 (fuel) (Gg/yr),Eurasia CH4 (tot) (Gg/yr),Eurasia CH4 (fuel) (Gg/yr),Central & South America CO2 (tot) (Gg/yr),Central & South America CO2 (fuel) (Gg/yr),Central & South America CH4 (tot) (Gg/yr),Central & South America CH4 (fuel) (Gg/yr),Middle East CO2 (tot) (Gg/yr),Middle East CO2 (fuel) (Gg/yr),Middle East CH4 (tot) (Gg/yr),Middle East CH4 (fuel) (Gg/yr),Africa CO2 (tot) (Gg/yr),Africa CO2 (fuel) (Gg/yr),Africa CH4 (tot) (Gg/yr),Africa CH4 (fuel) (Gg/yr),United States CO2 (tot) (Gg/yr),United States CO2 (fuel) (Gg/yr),United States CH4 (tot) (Gg/yr),United States CH4 (fuel) (Gg/yr),China CO2 (tot) (Gg/yr),China CO2 (fuel) (Gg/yr),China CH4 (tot) (Gg/yr),China CH4 (fuel) (Gg/yr),European Union CO2 (tot) (Gg/yr),European Union CO2 (fuel) (Gg/yr),European Union CH4 (tot) (Gg/yr),European Union CH4 (fuel) (Gg/yr),Japan CO2 (tot) (Gg/yr),Japan CO2 (fuel) (Gg/yr),Japan CH4 (tot) (Gg/yr),Japan CH4 (fuel) (Gg/yr),Russia CO2 (tot) (Gg/yr),Russia CO2 (fuel) (Gg/yr),Russia CH4 (tot) (Gg/yr),Russia CH4 (fuel) (Gg/yr),India CO2 (tot) (Gg/yr),India CO2 (fuel) (Gg/yr),India CH4 (tot) (Gg/yr),India CH4 (fuel) (Gg/yr),SouthEast Asia CO2 (tot) (Gg/yr),SouthEast Asia CO2 (fuel) (Gg/yr),SouthEast Asia CH4 (tot) (Gg/yr),SouthEast Asia CH4 (fuel) (Gg/yr),Brazil CO2 (tot) (Gg/yr),Brazil CO2 (fuel) (Gg/yr),Brazil CH4 (tot) (Gg/yr),Brazil CH4 (fuel) (Gg/yr)
1766,333395.01,12268.963,28087.501,5617.7746,66910.632423,0.0,13896.689465796497,2120.8988168309706,140444.26,0.0,549.663241,208.098004,32458.18937739849,12268.778,1929.6757450804,603.04190654396,27390.591129899996,0.0,1805.2987590999999,590.7759110749998,11726.47249684,0.0,615.7238547753998,93.99947948930499,49.193674,0.0,323.17840845,84.867114178,-795.6829809388001,0.0326144571,2163.5156739570007,219.525943174529,136276.87,0.0,298.97904,163.40231,47299.61,0.0,5929.213,1083.1007,23210.103589000002,0.15213711,5546.53479618,1579.950412823,-430.9714,0.0,288.95081,30.15537,24116.642,0.0,1570.0591,580.30795,17049.832,0.0,5777.1471,498.21524,32001.259732399994,0.0,1257.20979513,116.61254141339,9748.1803,0.0,139.28469,8.3768631
1767,353442.35,12272.633,28154.47,5630.3905,71092.54787440001,0.0,13920.502394271702,2123.51402737192,149222.02190000002,0.0,555.805124,211.213447,33697.187845869325,12272.445,1935.4294154807003,604.23636067942,29102.502918199996,0.0,1814.0478903000003,593.731604202,12459.3775156,0.0,619.1525448708,94.537218145488,52.268279,0.0,323.9308394600001,85.06041969299999,-845.5613449940998,0.0327798165,2164.4599535582,219.386674909408,144794.17,0.0,303.84514,166.03805,50255.836,0.0,5937.7511,1084.468,24660.665092,0.15485385,5561.311649419999,1581.8711264830001,-457.90712,0.0,289.25221,30.167932,25623.932,0.0,1577.9575,583.2273,18115.447,0.0,5788.6448,499.06994,34001.3380125,0.0,1259.819303629,116.83525554159002,10357.442,0.0,140.50738,8.4452913
1768,373489.68,12276.302,28221.393,5642.96,75274.46333590001,0.0,13944.313495177703,2126.1273391353902,157999.7838,0.0,561.943696,214.325599,34936.18730426025,12276.112,1941.1669996375,605.4147145554699,30814.414796400004,0.0,1822.7971125,596.68728595,13192.2817842,0.0,622.5802352112,95.073964778637,55.342883,0.0,324.68307925,85.25352369,-895.4397316482999,0.032945176,2165.4043203583997,219.24747260069196,153311.47,0.0,308.70871,168.67127,53212.062,0.0,5946.2884,1085.8345,26111.226285,0.15757058,5576.06428668,1583.767779957,-484.84283,0.0,289.55356,30.180446,27131.222,0.0,1585.856,586.14665,19181.062,0.0,5800.142,499.92405,36001.41699170001,0.0,1262.428714139,117.05785928814001,10966.703,0.0,141.72997,8.5136245
1769,393537.01,12279.972,28288.269,5655.483,79456.3766773,0.0,13968.1228110142,2128.7389720219103,166777.5556,0.0,568.078986,217.43445000000003,36175.18664274107,12279.778,1946.8884750410002,606.5769706521301,32526.326584,0.0,1831.5463217000001,599.642956198,13925.186015900003,0.0,626.0069401084,95.60971845575197,58.417488000000006,0.0,325.43511672,85.44642789900001,-945.3180930345,0.0331105346,2166.3487377766,219.10833163535196,161828.78,0.0,313.56976,171.30196,56168.287,0.0,5954.8251,1087.2004,27561.787687999997,0.16028731,5590.79304595,1585.640363548,-511.77854,0.0,289.85486,30.192914,28638.512,0.0,1593.7545,589.066,20246.676,0.0,5811.6385,500.77755,38001.4953618,0.0,1265.0379968380003,117.28035265304,11575.964,0.0,142.95247,8.5818628
1770,413584.34,12283.641,28355.099,5667.9595,83638.29212870004,0.0,13991.930358982296,2131.3486979408694,175555.31749999998,0.0,574.210986,220.54,37414.185111212006,12283.445,1952.5938450099998,607.7231274703998,34238.238362,0.0,1840.2955219,602.5986049349999,14658.090325599998,0.0,629.4326481714997,96.14448039893402,61.492093,0.0,326.18695327,85.639131491,-995.1965141057005,0.033275894099999995,2167.2932048227,218.969255354517,170346.08,0.0,318.42829,173.93012,59124.513,0.0,5963.3611,1088.5655,29012.348760999997,0.16300405,5605.497609150002,1587.488906942,-538.71426,0.0,290.15611,30.205335,30145.802,0.0,1601.653,591.98534,21312.291,0.0,5823.1344,501.63044,40001.574342,0.0,1267.647193638,117.50273852629999,12185.225,0.0,144.17487,8.650006
1771,435007.74,13621.99,28587.501,5711.0844,87820.20649019998,0.0,14160.738993959398,2160.3298886263506,184333.08930000002,0.0,581.6717940000001,224.380229,40029.24428970432,13621.791,1967.1821407427003,610.5420400292301,35950.150250000006,0.0,1849.4858266,605.70694639,15390.995586199995,0.0,633.1905932919,96.72596898455502,64.566697,0.0,326.95887951000003,85.83620720900001,-1045.0730564152998,0.0334608726,2168.3249675807,218.83586566425188,178863.39,0.0,324.46489,177.19998,62080.739,0.0,6116.5434,1116.3106,30462.911484,0.16626413,5629.65305283,1590.997725017,-565.64997,0.0,290.45927,30.216417,31653.092,0.0,1609.9612,595.05613,22377.905,0.0,5834.853,502.48883,42001.65242210001,0.0,1270.2835614150001,117.72501904001001,12794.487,0.0,145.54484,8.7264046
1772,455055.09,13625.66,28811.137,5752.5049,92002.12096059999,0.0,14329.532982560899,2189.2964600604005,193110.8513,0.0,589.12801,228.21586,41268.25957829673,13625.457,1973.0559874051,611.70698216291,37662.063028000004,0.0,1858.6761164,608.815264775,16123.8997759,0.0,636.9473636401001,97.30627693690799,67.641302,0.0,327.73058098999996,86.033055654,-1094.9496696248998,0.033645851000000004,2169.3567932467,218.70253643646902,187380.69,0.0,330.49797,180.46631,65036.964,0.0,6269.7123,1144.0423,31913.474266999998,0.16952421,5653.778469499999,1594.4766490879995,-592.58568,0.0,290.76238,30.227448,33160.383,0.0,1618.2694,598.12691,23443.52,0.0,5846.5709,503.34654,44001.731802300004,0.0,1272.9198222819998,117.94717986188,13403.748,0.0,146.9147,8.8026866
1773,475102.44,13629.331,29034.707,5793.8582,96184.0353211,0.0,14498.3124518701,2218.2486243662897,201888.6131,0.0,596.579626,232.046901,42507.27375687905,13629.124,1978.9132338120996,612.8553166942,39373.97491700001,0.0,1867.8662953,611.9235701690001,16856.8040256,0.0,640.7029507341999,97.885403888102,70.71590599999999,0.0,328.50205171000005,86.229675935,-1144.8263248195,0.033830829500000006,2170.3886815106002,218.56926818347995,195897.99,0.0,336.52752,183.72912,67993.19,0.0,6422.8679,1171.7608,33364.036461,0.17278429,5677.874157159999,1597.9256811240002,-619.52139,0.0,291.06544,30.238427,34667.673,0.0,1626.5775,601.19769,24509.134,0.0,5858.2881,504.20358,46001.8098724,0.0,1275.555953049,118.16921869190998,14013.009,0.0,148.28444,8.878852
1774,495149.79,13633.001,29258.209,5835.1444,100365.95079049999,0.0,14667.077450907003,2247.18615842285,210666.38499999998,0.0,604.02665,235.87334400000003,43746.28902537146,13632.791,1984.7538731388001,613.9870327521002,41085.886695,0.0,1877.0565623000002,615.0318626339999,17589.709406300004,0.0,644.457364958,98.46335009803599,73.79051100000001,0.0,329.27329056,86.42606733400001,-1194.7029320290997,0.0340158079,2171.4206184836,218.43606349520397,204415.3,0.0,342.55355,186.9884,70949.416,0.0,6576.0102,1199.4659,34814.599674,0.17604437,5701.9398207099985,1601.3448399570002,-646.45711,0.0,291.36845,30.249355,36174.963,0.0,1634.8857,604.26847,25574.749,0.0,5870.0047,505.05994,48001.88915259999,0.0,1278.1919679159998,118.39113673010999,14622.271,0.0,149.65407,8.9549008
1775,515197.14,13636.671,29481.644,5876.3635,104547.86418090001,0.0,14835.827931649404,2276.10908632984,219444.14680000002,0.0,611.469074,239.69518899999997,44985.30433397378,13636.457,1990.577902119,615.1021502255902,42797.79848299999,0.0,1886.2468124,618.140142269,18322.613707999993,0.0,648.2105851199003,99.04011526561203,76.865115,0.0,330.04430586000007,86.62223147899999,-1244.5795051997002,0.0342007864,2172.4526095646006,218.30291736953097,212932.6,0.0,348.57604,190.24415,73905.641,0.0,6729.1392,1227.1576,36265.162476,0.17930445,5725.97566405,1604.7340825759998,-673.39282,0.0,291.67141,30.260232,37682.253,0.0,1643.1939,607.33925,26640.363,0.0,5881.7206,505.91563,50001.9672327,0.0,1280.827851773,118.61293198647999,15231.532,0.0,151.02357,9.0308331
1776,536696.15,15048.354,29714.186,5919.2406,108729.7795214,0.0,15004.563747008498,2305.0175939975,228221.9187,0.0,618.9069159999999,243.512443,47675.96934245621,15048.137,2005.5587931825999,617.9257369312099,44509.710321,0.0,1895.4370526,621.2484187529999,19055.5178387,0.0,651.9626305394002,99.615699693029,79.93972,0.0,330.81509129999995,86.818166441,-1294.4561263103,0.034385764799999996,2173.4846716435995,218.16983642045003,221449.91,0.0,354.59502,193.49638,76861.867,0.0,6882.2548,1254.8361,37715.724498999996,0.18256453,5749.981580490002,1608.093464081,-700.32853,0.0,291.97431,30.271057,39189.543,0.0,1651.5021,610.41004,27705.978,0.0,5893.4358,506.77065,52002.04650289999,0.0,1283.46362864,118.83460636101,15840.793,0.0,152.39296,9.1066487
1777,556794.35,15102.876,29937.486,5960.325,112911.6930018,0.0,15173.285131193,2333.9114743278897,236999.6806,0.0,626.340147,247.325099,48914.98465104851,15051.803,2011.3492366518003,619.0072590237301,46221.622179,0.0,1904.6272789,624.356672358,19788.4221184,0.0,655.7134998858,100.19010324408703,83.014325,0.0,331.58565197999997,87.01387434,-1344.3327354208,0.0345707434,2174.516798022499,218.03681524816304,229967.21,0.0,360.61046,196.74508,79818.092,0.0,7035.3571,1282.5012,39217.139532999994,51.037995,5773.957669810001,1611.422942463,-727.26425,0.0,292.27717,30.281832,40696.833,0.0,1659.8103,613.48082,28771.592,0.0,5905.1504,507.62499,54002.125683,0.0,1286.0992675969999,119.05616093370001,16450.054,0.0,153.76224,9.1823478
1778,576894.34,15159.183,30160.72,6001.3424,117093.60819219999,0.0,15341.991967077205,2362.790855505949,245777.4425,0.0,633.768787,251.133157,50153.99917964093,15055.47,2017.1230502626995,620.07216265385,47933.533917,0.0,1913.8174923000001,627.4649129229999,20521.327459,0.0,659.4631872810999,100.76332580388603,86.08893,0.0,332.3559809,87.209353055,-1394.2093827303993,0.0347557218,2175.5489934194998,217.9038553264791,238484.51,0.0,366.62238,199.99025,82774.318,0.0,7188.4461,1310.153,40720.339025,103.67771,5797.9038229299995,1614.72255784,-754.19996,0.0,292.57997,30.292555,42204.123,0.0,1668.1185,616.5516,29837.207,0.0,5916.8643,508.47866,56002.20366320001,0.0,1288.734797454,119.27759372457001,17059.316,0.0,155.1314,9.2579303
1779,596996.11,15217.274,30383.886,6042.2926,121275.52281369998,0.0,15510.6841456951,2391.6556094565503,254555.2143,0.0,641.192826,254.936625,51393.01379812325,15059.137,2022.8802656071,621.12045868958,49645.445775,0.0,1923.0076918,630.573140667,21254.2316687,0.0,663.2116897742002,101.33536879042698,89.163534,0.0,333.12608804,87.404604818,-1444.085904241,0.0349407003,2176.5812131134994,217.77095607150702,247001.82,0.0,372.63077,203.2319,85730.544,0.0,7341.5217,1337.7914,42225.32150799999,158.10172,5821.820148039999,1617.9922601940002,-781.13567,0.0,292.88272,30.303226,43711.413,0.0,1676.4267,619.62238,30902.821,0.0,5928.5775,509.33166,58002.28334330001,0.0,1291.3702093109998,119.49890462359002,17668.577,0.0,156.50044,9.3333962
1780,617103.45,15280.815,30607.009,6083.1802,125457.4372141,0.0,15679.361803813603,2420.505843455909,263332.9762,0.0,648.612274,258.735494,52635.80952671565,15066.47,2028.6447461750004,622.1566391691501,51357.358613,0.0,1932.1978794,633.681355362,21987.135890399994,0.0,666.9590168842,101.90622962690797,92.23813899999999,0.0,333.89596154,87.59962838700001,-1493.9625594520003,0.0351256783,2177.6135428075004,217.63812060120904,255519.12,0.0,378.63563,206.47002,88686.769,0.0,7494.584,1365.4165,43732.08945199999,214.31001,5845.706544139998,1621.232067234,-808.07138,0.0,293.18542,30.313846,45218.704,0.0,1684.7349,622.69316,31968.436,0.0,5940.29,510.18398,60002.36091349999,0.0,1294.005492268,119.72009264078,18277.838,0.0,157.86937,9.4087456
1781,639052.96,17131.287,30736.631,6107.5717,129639.35152459994,0.0,15732.2576807694,2428.1486888419213,272110.7482,0.0,657.743831,263.479905,55715.866895428604,16855.82,2046.2277387715,625.4258279853399,53069.270462,0.0,1941.8506284,636.949250023,22720.0402101,0.0,671.0298884109999,102.517839344937,95.31274300000001,0.0,334.68638961,87.798871176,-1543.8371351490005,0.0353329647,2178.7354565408,217.510284526775,264036.43,0.0,386.17006,210.53911,91642.995,0.0,7531.4786,1371.8451,45243.772123999996,275.43197,5877.41949966,1625.795361772,-835.0071,0.0,293.48991,30.322974,46725.994,0.0,1693.474,625.92324,33034.05,0.0,5952.2283,511.04038,62002.4405036,0.0,1296.6683374099998,119.94091496995,18887.099,0.0,159.41355,9.4938181
1782,659164.49,17199.111,30854.556,6129.7117,133821.26701500002,0.0,15785.148576798903,2435.786661822791,280888.51,0.0,666.868929,268.217849,56954.89837407163,16859.487,2052.1614386641004,626.4919993891699,54781.18231,0.0,1951.5034527,640.217113524,23452.9455398,0.0,675.0993615758,103.12805747907902,98.387348,0.0,335.47656190000004,87.997852999,-1593.7116898359998,0.035540249100000004,2179.8574074431995,217.38250507257996,272553.73,0.0,393.69952,214.60323,94599.221,0.0,7568.3696,1378.2702,46758.489577,339.58906,5909.09725984,1630.3233602050002,-861.94281,0.0,293.79434,30.332045,48233.284,0.0,1702.2132,629.15331,34099.665,0.0,5964.1658,511.89602,64002.51820379999,0.0,1299.33106244,120.16160168706,19496.361,0.0,160.95758,9.5787467
1783,679282.83,17273.637,30972.439,6151.7908,138003.18142540002,0.0,15838.0344482279,2443.4196815890205,289666.27190000005,0.0,675.9875480000001,272.94933000000003,58197.71074272457,16866.82,2058.1019382346,627.54557699327,56493.094058,0.0,1961.1562592,643.484955665,24185.849650500004,0.0,679.1674506852997,103.73688468823501,101.461952,0.0,336.26646843000003,88.19657938399999,-1643.5861625439998,0.0357475335,2180.9794078325003,217.25478449692608,281071.03,0.0,401.224,218.66238,97555.446,0.0,7605.257,1384.6917,48276.24136099999,406.78128,5940.73969298,1634.8160971430004,-888.87852,0.0,294.09872,30.34106,49740.574,0.0,1710.9524,632.38338,35165.28,0.0,5976.1025,512.75091,66002.5979039,0.0,1301.99365839,120.38215321212999,20105.622,0.0,162.50147,9.6635312
1784,699400.42,17347.531,31090.232,6173.7999,142185.09381290007,0.0,15890.915606859498,2451.0477513317296,298444.04370000004,0.0,685.099699,277.67433400000004,59436.74207147761,16870.487,2064.0014747303,628.5775736321599,58205.005905,0.0,1970.8089409,646.752776566,24918.754060100004,0.0,683.2341490447,104.34432160440304,104.536557,0.0,337.05611737000004,88.395042514,-1693.460729451,0.035954819900000004,2182.1014887108004,217.12712175192107,289588.34,0.0,408.74351,222.71655,100511.67,0.0,7642.141,1391.1096,49797.028913999995,477.00862,5972.3468098799995,1639.2735470960001,-915.81424,0.0,294.40304,30.35002,51247.864,0.0,1719.6915,635.61345,36230.894,0.0,5988.0385,513.60505,68002.6754041,0.0,1304.6561162199998,120.60257212515,20714.883,0.0,164.04522,9.7481717
