Year,Hist CO2 (W/m²),CO2 (ppm),Earth CO2 (tot) (Gg/yr),Earth CO2 (fuel) (Gg/yr)
1849,0.1385819891796039,284.2070007324219,2179669.9,183749.35
1850,0.1399655043694004,284.3169860839844,2040863.7,197041.19
1851,0.142307285534621,284.4509887695312,2014719.9,199482.45
1852,0.1449555936555789,284.5979919433594,2229120.8,208275.51
1853,0.1473338848494106,284.7309875488281,2233569.4,217992.73
1854,0.1493664089263643,284.8460083007812,2266737.8,256005.11
1855,0.1510142963488279,284.9410095214844,2262423.1,260740.49
1856,0.1529109755559734,285.0490112304688,2301769.7,278269.96
1857,0.1557077478187186,285.2040100097656,2325657.4,280916.45
1858,0.1586943796521112,285.3689880371094,2349757.0,284798.19
1859,0.1618908857204961,285.5450134277344,2387072.3,301981.92
1860,0.1654295332297178,285.739013671875,2436516.4,331324.52
1861,0.168966028032944,285.9330139160156,2494544.0,348413.1
1862,0.1719843097410066,286.1000061035156,2286803.9,354747.35
1863,0.1750774659818059,286.27099609375,2311894.5,378564.51
1864,0.178169026828523,286.4419860839844,2344915.7,407812.16
1865,0.1812787552395502,286.614013671875,2374925.2,433048.53
1866,0.1842908071952091,286.781005859375,2389887.0,446723.89
1867,0.1874345532019055,286.9549865722656,2418886.3,479326.08
1868,0.1901201865413237,287.1050109863281,2427626.0,492395.23
1869,0.1922327080016563,287.2250061035156,2453418.6,522923.34
1870,0.1945350795142567,287.3550109863281,2461417.5,534469.4
1871,0.1970072501818172,287.4939880371094,2572110.9,568242.13
1872,0.2000687871756529,287.6640014648438,2954490.3,628647.57
1873,0.2036224703765585,287.8599853515625,3036577.6,667852.26
1874,0.2072697131941814,288.0610046386719,3016146.1,625526.67
1875,0.2114645671517383,288.2909851074219,3101145.3,678455.73
1876,0.2156379949827701,288.5199890136719,3138675.5,688425.97
1877,0.2198658402827369,288.7520141601562,3178309.1,701987.11
1878,0.2242606440295048,288.9930114746094,3207862.9,705480.26
1879,0.2284061248349921,289.2210083007812,3287685.5,755949.03
1880,0.2329459220861537,289.4700012207031,3422353.0,854528.21
1881,0.2378226793685065,289.7369995117188,3581214.1,883242.15
1882,0.2429790183555466,290.0190124511719,3466237.4,933176.14
1883,0.247413402417629,290.2630004882812,3550720.4,992376.07
1884,0.2519388837709704,290.5119934082031,3581582.1,1003523.9
1885,0.2571394659403455,290.7969970703125,3606687.1,1011015.9
1886,0.2626745003418066,291.1000061035156,3632720.0,1026865.1
1887,0.2684109671980639,291.4140014648438,3685915.8,1078238.4
1888,0.2747996256951576,291.7630004882812,3805443.8,1193849.6
1889,0.2812002955995279,292.1130065917969,3802847.4,1193496.6
1890,0.287500424194979,292.4580078125,3911690.6,1300320.2
1891,0.294037418642556,292.8160095214844,3962173.3,1360925.9
1892,0.300435933804841,293.1669921875,4023155.9,1371881.5
1893,0.3060616947412579,293.4769897460938,4011098.0,1355444.3
1894,0.3117567366137632,293.7909851074219,4127954.5,1402679.2
1895,0.316961913796589,294.0790100097656,4234011.3,1487303.3
1896,0.3221246014070205,294.364990234375,4294222.3,1535821.4
1897,0.3271902019821512,294.64599609375,4387555.2,1608506.8
1898,0.3327540383392821,294.9540100097656,4488297.4,1696643.7
1899,0.3390182130722966,295.2999877929688,4663559.0,1853450.8
1900,0.3458146670492977,295.6749877929688,4778399.7,1955110.9
1901,0.351805960177552,296.0069885253906,5088271.7,2019796.3
1902,0.357531917903497,296.3250122070312,5157086.7,2070904.3
1903,0.3634549946701647,296.6539916992188,5465499.7,2259315.9
1904,0.3688367235472697,296.9540100097656,5590871.5,2283434.3
1905,0.3748598004764674,297.2890014648438,5843537.4,2431201.7
1906,0.3815780289294299,297.6619873046875,6092290.7,2553669.7
1907,0.389450214238674,298.0979919433594,6488954.8,2887683.5
1908,0.3970175471152135,298.5180053710938,6420567.5,2779180.4
1909,0.404538292449819,298.9360046386719,6557694.1,2889123.6
1910,0.4124714149883027,299.3769836425781,6733406.8,3029522.9
1911,0.420595837163875,299.8289794921875,6579092.4,3084827.5
1912,0.430028449772429,300.3529968261719,6608614.1,3232258.9
1913,0.4400490035982125,300.9100036621094,6784554.6,3495296.1
1914,0.449176327095667,301.4189758300781,6392151.6,3175307.8
1915,0.4584545339162851,301.9369812011719,6294354.1,3131774.7
1916,0.4682645616394815,302.4849853515625,6556528.7,3379421.9
1917,0.4776588013805912,303.010986328125,6702728.2,3534761.4
1918,0.4854428052353307,303.448974609375,6664492.9,3486320.4
1919,0.4918956176251285,303.8139953613281,6195947.1,3018908.2
1920,0.499553732567473,304.2460021972656,6728840.1,3510924.6
1921,0.5057914098255044,304.5999755859375,6446818.4,3079992.1
1922,0.5118604864136923,304.9449768066406,6590376.5,3231567.3
1923,0.517579940376098,305.27099609375,7082644.6,3669442.5
1924,0.5238890654994214,305.6299743652344,7127984.8,3676337.1
1925,0.5270230161965053,305.81298828125,7180077.8,3701938.1
1926,0.5293986915650704,305.9539794921875,7137621.2,3644616.7
1927,0.533249292373482,306.1769714355469,7660422.9,3980464.5
1928,0.5358203634622676,306.3289794921875,7655032.0,3958865.6
1929,0.538642436225954,306.4949951171875,8080888.1,4257426.1
1930,0.5407260807935735,306.6199951171875,8020019.4,3934769.1
1931,0.5441914042563286,306.8219909667969,7605523.2,3515505.0
1932,0.5488940053860475,307.0929870605469,6876663.8,3174506.8
1933,0.5542740459108394,307.4019775390625,7045840.1,3345156.1
1934,0.5609755592460626,307.7849731445312,7323775.8,3636834.1
1935,0.5687255661017379,308.2269897460938,7519976.7,3818223.2
1936,0.582591019943175,309.0119934082031,7951152.7,4188809.9
1937,0.5958364164261459,309.7639770507812,8199249.7,4486625.1
1938,0.6051060602917695,310.2939758300781,7931499.3,4230529.0
1939,0.6148414410852404,310.8509826660156,8201228.1,4471989.9
1940,0.6236563165449681,311.3569641113281,8540562.5,4877160.6
1941,0.6315380841823073,311.8109741210938,8593530.8,4993719.7
1942,0.6377642054343154,312.1719665527344,8685248.3,5009940.8
1943,0.6414540265637992,312.3899841308594,8857405.0,5187074.5
1944,0.6416980473794832,312.4129638671875,8823779.5,5163666.3
1945,0.6410410450363411,312.3849792480469,7930169.5,4327113.0
1946,0.6409674521400469,312.3899841308594,8715452.1,4704536.1
1947,0.6425029189032891,312.4859619140625,9384709.9,5203149.5
1948,0.6429607542068914,312.5209655761719,9692275.5,5464370.9
1949,0.6447613317600908,312.6319580078125,9522119.8,5256792.5
1950,0.6479387693820088,312.8209838867188,9980037.4,5656254.4
1951,0.6511847172557995,313.0139770507812,11251001.0,6076287.5
1952,0.6568097335965328,313.3419799804688,11430280.0,6150105.3
1953,0.663485281659083,313.72998046875,11602241.0,6320365.2
1954,0.6697493640826936,314.094970703125,11967359.0,6458680.7
1955,0.6752155604512464,314.4149780273438,12790842.0,7057925.3
1956,0.6800262076161371,314.6979675292969,13499498.0,7504698.9
1957,0.685026535015809,314.9919738769531,13880647.0,7742325.3
1958,0.6910577056794089,315.344970703125,14349300.0,7995610.6
1959,0.6989924531118331,315.8069763183594,14375221.0,8415086.2
1960,0.7131387313501331,316.6249694824219,14839167.0,8869693.6
1961,0.7247412822921409,317.2989501953125,15133034.0,8860865.0
1962,0.7375579007971402,318.0439758300781,15470784.0,9172213.1
1963,0.7479324225757109,318.6499633789062,16110691.0,9695817.2
1964,0.7596245882069643,319.3329467773438,16675131.0,10161105.0
1965,0.7678326578944084,319.8159484863281,17258186.0,10625356.0
1966,0.7860677416847789,320.8799743652344,17928515.0,11094867.0
1967,0.7962560900365518,321.4799499511719,18276463.0,11394189.0
1968,0.8117419933442166,322.3889465332031,18709251.0,12009662.0
1969,0.8263827300959795,323.2509460449219,19611148.0,12794212.0
1970,0.8524407670261726,324.782958984375,20783952.0,13858400.0
1971,0.8628090499743453,325.3999633789062,20755468.0,14373016.0
1972,0.8957873726309703,327.3489685058594,21386584.0,15013915.0
1973,0.938885723086166,329.9089660644531,22204375.0,15763213.0
1974,0.9529730861394372,330.7559509277344,22164984.0,15737330.0
1975,0.9540081085866684,330.8269653320312,22091209.0,15813776.0
1976,0.9658981902614784,331.5449523925781,23287453.0,16636190.0
1977,0.9959755848903696,333.3529357910156,23784585.0,17115398.0
1978,1.0233995423372475,335.0099487304688,24556582.0,17752889.0
1979,1.0496761543132678,336.6049499511719,25038558.0,18278138.0
1980,1.0857131817123595,338.7049560546875,24795748.0,18244209.0
1981,1.1054006285013622,340.0589599609375,24365997.0,17834163.0
1982,1.1178284478796294,340.6439514160156,24930383.0,17737727.0
1983,1.1452380458435367,342.2659606933594,25330218.0,17938443.0
1984,1.1704171917539934,344.0079345703125,26134093.0,18506908.0
1985,1.1942037327216164,345.4589538574219,26905260.0,19195823.0
1986,1.2169284994639005,346.9029541015625,27254191.0,19455603.0
1987,1.245030757738184,348.7749328613281,27818164.0,19965813.0
1988,1.2854291665521,351.2759399414062,28721706.0,20704180.0
1989,1.3116262000174697,352.8939208984375,29135092.0,21048507.0
